4047	P b 21 a	Rb Tl F4		Zur Darstellung und Kristallstruktur von Rb Tl F4  und  Cs Tl F4	Hebecker, C.	Zeitschrift fuer Anorganische und Allgemeine Chemie (1950) (DE) (1975) 412,  p37-p46
4049	I -4	K Sb4 F13		Structure cristalline du tridecafluorotetra-antimonate (III) de potassium	Ducourant, M.B.;  Fourcade, R.;  Philippot, E.;  Mascherpa, G.	Revue de Chimie Minerale (1975) 12,  p553-p562
4050	P 1 21/c 1	(I F4) (Sb2 F11)	USb2F15	Fluoride crystal structures. Part XXIV.	Edwards, A.J.;  Taylor, P.	Journal of the Chemical Society. Dalton Transactions, Inorganic Chemistry (1972-) (1975) 1975,  p2174-p2177
4051	C m m a	Pb (Zr F6)	PbZrF6	Synthese et etude structurale de fluorozirconates M(II) Zr F6 (M(II) = Pb, Sr, Eu, Ba)	Laval, J.P.;  Mercurio Lavaud, D.;  Gaudreau, B.	Revue de Chimie Minerale (1974) 11,  p742-p750
4054	P 4/m b m	K (Mn F3)		The crystal structure of K Mn F3 AT 50 K	Hidaka, M.	Journal of the Physical Society of Japan (1975) 39,  p180-p186
4071	P m -3 m	Cs (Sn Br3)	Perovskite-CaTiO3	Effects of the presence of valence-shell non-bonding electron pairs on the properties and structures of cesium tin(II) bromides and of related antimony and tellurium compounds	Donaldson, J.D.;  Silver, J.;  Hadjiminolis, S.;  Ross, S.D.	Journal of the Chemical Society. Dalton Transactions, Inorganic Chemistry (1972-) (1975) 1975,  p1500-p1506
4403	F m -3 m	K3 Mo F6	Elpasolite-K2NaAlF6	The Structure and Spectrum of Potassium Hexafluoromolybdate(III)	Toth, L.M.;  Brunton, G.D.;  Smith, G.P.	Inorganic Chemistry (1969) 8,  p2694-p2697
6019	P 21 21 21	N2 H5 F		Die Kristallstruktur des Hydrazinium-monofluorids	Golic, L.;  Lazarini, F.	Monatshefte fuer Chemie (1974) 105,  p735-p741
6031	C 1 2 1	I2 Sb2 F11		The Preparation and Crystal Structure of I2 Sb2 F11	Davies, C.G.;  Gillespie, R.J.;  Ireland, P.R.;  Sowa, J.M.	Canadian Journal of Chemistry (1974) 52,  p2048-p2052
6034	P 1 21/n 1	(Xe F3) (Sb F6)		Crystal Structure of (Xe F3) (Sb F6)	Boldrini, P.;  Gillespie, R.J.;  Ireland, P.R.;  Schrobilgen, G.J.D.	Inorganic Chemistry (1974) 13,  p1690-p1694
