2354	P 4 c c	V O Se2 O5		Cristallochimie du selenium(+IV). I. V Se2 O6, une structure a trois chaines paralleles ((V O5)n)(6n) independantes pontees par des groupements (Se2 O)(6+)	Meunier, G.;  Bertaud, M.;  Galy, J.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p2834-p2839
2356	A 1 2/m 1	Ba Ti2 O5	V2GaO5	Refinement of barium dititanate	Tillmanns, E.	Acta Crystallographica B (24,1968-38,1982) (1974) 30,  p2894-p2896
2390	F d -3 c Z	Te (O H)6	Te(OH)6	X-ray refinement of the structure of cubic telluric acid	Falck, L.;  Lindqvist, O.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p3145-p3146
2403	P -1	Li4 (Te O5)	Li4TeO5	Structure cristalline d&#39;une oxotellurate, Li4 Te(VI) O5, a groupement anionique individualise: (Te2(VI) O10)(8-)	Moret, J.;  Daniel, F.;  Loeksmanto, W.;  Maurin, M.;  Philippot, E.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p3156-p3160
2408	P 63/m m c	K2 (S O4)		The space group and structure of alpha-K2 S O4	van den Berg, A.J.;  Tuinstra, F.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p3177-p3181
2412	P -3	K2 W4 O13		The crystal structure of K2 W4 O13	Okada, K.;  Marumo, F.;  Iwai, S.I.	Acta Crystallographica B (24,1968-38,1982) (1978) 34,  p3193-p3195
2443	I 41/a Z	(Am2 (Mo O4)3)1.333	Nd.667(MoO4)	Etude cristallochimique du molybdate et du tungstate d&#39;americium(III): alpha-Am2 (Mo O4)3, alpha-Am2 (W O4)3	Tabuteau, A.;  Pages, M.	Journal of Solid State Chemistry (1978) 26,  p153-p158
2450	P 63/m m c	Sc2 O2 S	Zr2NS2	Oxysulfure de scandium Sc2 O2 S	Julien Pouzol, M.;  Jaulmes, S.;  Guittard, M.;  Laruelle, P.	Journal of Solid State Chemistry (1978) 26,  p185-p188
2452	P m m a	Li (Ta3 O8)		Structural studies of the solid electrolyte high-Li Ta3 O8	Nord, A.G.;  Thomas, J.O.	Acta Chemica Scandinavica, Series A: (28,1974-) (1978) 32,  p539-p544
2455	P c a m	La2 O2 S2		The rare-earth oxide disulfides La2 O2 S2, Pr2 O2 S2, and Nd2 O2 S2	Wichelhaus, W.	Naturwissenschaften (1978) 65,  p593-p594
